n_samples,pearson_r,r_squared,p_value,slope,intercept,std_err,connection,score,p_value_fdr,significant_fdr,abs_r
100,0.6426338683221569,0.4129782887146992,5.692950697774495e-13,39.48495039418199,1.5947999399950086,4.755345003721919,avg_connection_strength_positive_vae_denoised,CDR_SOB,4.016092399743981e-12,True,0.6426338683221569
100,0.6425625555858955,0.41288663784107704,5.737274856777115e-13,7.146880558054754,0.32285824587037004,0.8608927579563478,avg_connection_strength_positive_vae_denoised,CDR,4.016092399743981e-12,True,0.6425625555858955
100,-0.5819509715960574,0.33866693334159514,2.1518644398719403e-10,-78.51965434175898,7.028060226026629,11.083809749379355,avg_connection_strength_positive_vae_denoised,延迟回忆,1.0042034052735723e-09,True,0.5819509715960574
100,-0.5766554567645497,0.3325315158163314,3.4125909133321135e-10,-67.55103458875104,8.631057205660145,9.667583755422918,avg_connection_strength_positive_vae_denoised,线索回忆,1.1944068196662398e-09,True,0.5766554567645497
100,-0.5631504120759647,0.31713838662132887,1.0665801459196151e-09,-122.22447771241495,23.055190620990672,18.117033857515647,avg_connection_strength_positive_vae_denoised,即刻记忆,2.986424408574922e-09,True,0.5631504120759647
100,-0.5606336675047014,0.31431010913977214,1.3115478907330892e-09,-69.09177174084259,25.55906429071166,10.308559698943709,avg_connection_strength_positive_vae_denoised,MMSE,3.0602784117105415e-09,True,0.5606336675047014
100,-0.5428501802760758,0.29468631822576796,5.387975336620243e-09,-58.98314672100715,10.026530592684177,9.217774260057988,avg_connection_strength_positive_vae_denoised,长时延迟再认,1.0775950673240486e-08,True,0.5428501802760758
100,-0.5354995077019898,0.28675972274907346,9.436366064670888e-09,-78.55649035736216,21.648251659789025,12.514914551286578,avg_connection_strength_positive_vae_denoised,MoCA总分,1.6513640613174055e-08,True,0.5354995077019898
100,-0.4425267582983787,0.19582993181007166,4.0272220274376125e-06,-15.445034691664556,4.690266582935248,3.161624337928491,avg_connection_strength_positive_vae_denoised,数字广度逆向,6.2645675982362855e-06,True,0.4425267582983787
100,0.4222727950754104,0.17831431346079954,1.2079963979850996e-05,912.1671823596895,118.66954170674677,197.7976663587075,avg_connection_strength_positive_vae_denoised,连线测验B,1.6911949571791394e-05,True,0.4222727950754104
100,-0.3820896032384405,0.14599246490290888,8.753192505752921e-05,-7.441031096227606,2.2786704304349312,1.817965814317745,avg_connection_strength_positive_vae_denoised,CDT,0.00011140426825503718,True,0.3820896032384405
100,0.379549696772385,0.1440579723200094,9.837760450249191e-05,355.3869372424548,61.70308313372258,87.50682962315324,avg_connection_strength_positive_vae_denoised,连线测验A,0.0001147738719195739,True,0.379549696772385
100,0.3486141632262073,0.12153183480190871,0.0003786950272956095,556.7802451172346,56.96645857302419,151.2128735639689,avg_connection_strength_positive_vae_denoised,TMT B-A,0.00040782541401065633,True,0.3486141632262073
100,-0.3198591385443718,0.10230986851034764,0.0011784491173264132,-41.86647120967508,23.25757662903607,12.527308757484805,avg_connection_strength_positive_vae_denoised,Boston-初始命名,0.0011784491173264132,True,0.3198591385443718
